State_Name,State_District_Name,YY_Crude_Death_Rate_Cdr_Total_Person,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Crude_Death_Rate_Cdr_Total_Female,YY_Crude_Death_Rate_Cdr_Rural_Person,YY_Crude_Death_Rate_Cdr_Rural_Male,YY_Crude_Death_Rate_Cdr_Rural_Female,YY_Crude_Death_Rate_Cdr_Urban_Person,YY_Crude_Death_Rate_Cdr_Urban_Male,YY_Crude_Death_Rate_Cdr_Urban_Female,YY_Infant_Mortality_Rate_Imr_Total_Person,YY_Infant_Mortality_Rate_Imr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Female,YY_Infant_Mortality_Rate_Imr_Rural_Person,YY_Infant_Mortality_Rate_Imr_Rural_Male,YY_Infant_Mortality_Rate_Imr_Rural_Female,YY_Infant_Mortality_Rate_Imr_Urban_Person,YY_Infant_Mortality_Rate_Imr_Urban_Male,YY_Infant_Mortality_Rate_Imr_Urban_Female,YY_Neo_Natal_Mortality_Rate_Total,YY_Neo_Natal_Mortality_Rate_Rural,YY_Neo_Natal_Mortality_Rate_Urban,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,YY_Post_Neo_Natal_Mortality_Rate_Urban,YY_Under_Five_Mortality_Rate_U5MR_Total_Person,YY_Under_Five_Mortality_Rate_U5MR_Total_Male,YY_Under_Five_Mortality_Rate_U5MR_Total_Female,YY_Under_Five_Mortality_Rate_U5MR_Rural_Person,YY_Under_Five_Mortality_Rate_U5MR_Rural_Male,YY_Under_Five_Mortality_Rate_U5MR_Rural_Female,YY_Under_Five_Mortality_Rate_U5MR_Urban_Person,YY_Under_Five_Mortality_Rate_U5MR_Urban_Male,YY_Under_Five_Mortality_Rate_U5MR_Urban_Female
Uttar Pradesh,Etah,7.93,8.61,7.17,8.03,8.95,6.98,7.39,6.63,8.25,66.55,66.5,66.61,69.25,68.86,69.67,46.32,49.75,56.7,48.41,50.15,35.42,18.14,19.1,10.9,86,81,92,91,84,99,53,59,47
Uttar Pradesh,Etawah,8.26,8.52,7.95,8.61,8.95,8.22,7.03,7.05,7.01,55.93,58.82,52.61,55.89,60.21,50.88,56.11,52.51,74.9,41,40.12,44.89,14.93,15.76,11.22,85,81,91,90,85,96,69,63,75
Uttar Pradesh,Faizabad,10.54,11.39,9.7,10.84,11.88,9.84,8.48,8.3,8.69,88.26,89.41,86.94,91.9,93.65,89.86,53.97,45.45,67.31,64.96,68.48,31.75,23.3,23.42,22.22,115,116,114,120,123,117,72,55,89
Uttar Pradesh,Farrukhabad,7.54,7.9,7.13,7.93,8.06,7.78,6.51,7.47,5.44,77.61,75.12,80.43,81.81,80.46,83.35,61.32,54.05,43.17,54.43,57.52,42.45,23.18,24.29,18.87,98,94,102,107,102,112,70,66,74
Uttar Pradesh,Fatehpur,7.14,7.78,6.45,7.34,8,6.63,5.52,6.03,4.97,54.93,53.21,56.86,56.9,56.81,56.99,36.3,18.87,83.33,38.67,40.32,23.1,16.26,16.58,13.2,81,77,86,86,83,89,40,19,62
Uttar Pradesh,Firozabad,9.09,8.72,9.5,9.37,8.77,10.05,8.26,8.6,7.89,56.46,54.5,58.78,58.27,57.4,59.32,49.34,42.89,52.52,35.85,37.63,28.88,20.61,20.65,20.46,79,72,87,85,76,94,61,57,65
Uttar Pradesh,Gautam Buddha Nagar,6.17,6.65,5.61,7.04,7.71,6.27,4.29,4.46,4.08,57.26,56.27,58.4,61.82,64.77,58.47,45.42,34.97,43.04,36.39,40.32,26.17,20.87,21.49,19.25,70,66,74,75,77,74,55,41,73
Uttar Pradesh,Ghaziabad,6.66,6.89,6.39,6.86,6.48,7.3,6.52,7.17,5.77,45.56,37.7,54.28,55.22,42.36,70.07,38.43,34.14,28.87,30.11,37.83,24.4,15.45,17.38,14.03,59,50,68,69,54,87,52,48,55
Uttar Pradesh,Ghazipur,8.73,9.28,8.21,8.81,9.43,8.23,7.77,7.63,7.91,77.21,77.62,76.79,77.12,77.1,77.14,NA,NA,NA,63.51,63.67,NA,13.7,13.45,NA,94,93,94,94,93,95,NA,NA,NA
Uttar Pradesh,Gonda,8.2,8.12,8.28,8.26,8.21,8.33,6.96,6.57,7.37,71.22,71.62,70.79,73.5,74.17,72.79,NA,NA,NA,53.75,55.25,NA,17.47,18.26,NA,97,93,101,100,95,104,NA,NA,NA
Uttar Pradesh,Gorakhpur,8.01,8.57,7.49,8.82,9.43,8.3,6.27,6.92,5.57,61.77,60.69,62.92,62.05,58.35,65.97,60.81,68.21,95.74,45.87,46.66,43.22,15.9,15.4,17.58,76,70,82,78,69,87,71,75,67
Uttar Pradesh,Hamirpur,6.73,6.81,6.63,6.82,7.09,6.5,6.35,5.63,7.18,44.94,44.53,45.38,45,47.29,42.49,44.62,30.89,38.46,26.45,26.47,26.37,18.49,18.53,18.26,66,64,68,67,71,64,60,35,88
Uttar Pradesh,Hardoi,9.25,9.46,9.01,9.44,9.7,9.14,7.98,7.84,8.13,81.35,80.9,81.82,82.5,85.29,79.68,72.94,49.77,83.87,52.47,53.85,42.35,28.88,28.65,30.59,118,111,127,121,117,126,97,64,134
Uttar Pradesh,Hathras,8.59,8.36,8.86,8.61,8.26,9.01,8.55,8.69,8.38,57.18,53.83,60.88,56.82,52.81,61.15,58.63,57.75,51.02,37.96,38.24,36.85,19.21,18.59,21.78,78,68,89,76,68,85,84,71,99
Uttar Pradesh,Jalaun,8.46,8.54,8.38,8.77,8.87,8.66,7.51,7.52,7.5,65.02,63.25,66.9,66.61,61.4,72.03,59.28,69.57,30.49,48.2,49.89,42.12,16.82,16.72,17.16,97,92,102,97,91,103,96,95,98
Uttar Pradesh,Jaunpur,8.25,8.58,7.9,8.29,8.84,7.8,7.88,6.11,9.7,74.88,74.81,75,77.13,77.38,77,NA,NA,NA,58.8,61.09,NA,16.08,16.04,NA,91,83,98,91,85,97,NA,NA,NA
Uttar Pradesh,Jhansi,6.39,6.94,5.77,7.27,7.75,6.72,5.54,6.15,4.84,40.84,40.65,41.06,49.94,47.76,52.45,28.48,31.21,47.3,28.82,34.2,21.52,12.02,15.75,6.96,59,58,61,73,71,74,43,43,43
Uttar Pradesh,Jyotiba Phule Nagar,7.92,8.55,7.25,7.98,8.55,7.36,7.72,8.53,6.86,72.32,73.6,70.84,76.93,74.38,79.91,55.03,70.67,37.97,56.9,58.4,51.23,15.43,18.53,3.8,92,92,91,97,92,102,73,91,52
