State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Madhya Pradesh,Datia,83.9,83.7,84.3,75.4,77.4,70.1,8.3,6.1,14.2,16.1,16.3,15.7,41.5,33.8,63.1,90.6,89.2,94.2,4,2.7,7.9,35.3,27.8,44.1
Madhya Pradesh,Dewas,91.2,88.7,96.4,76.5,78.8,71.5,14.6,9.9,24.9,8.8,11.2,3.5,47.4,46.4,54.1,95.3,93.9,98.3,3.4,3,4.2,33.1,26.1,39.2
Madhya Pradesh,Dhar,85.7,83.6,93.8,76.5,78.1,70.6,9.2,5.5,23.2,14.2,16.3,6,42.6,41.9,50,91.8,90.4,96.8,3.9,3.7,4.6,31.5,26.9,35.6
Madhya Pradesh,Dindori,49.8,49.3,NA,44.7,44.5,NA,5,4.8,NA,50.2,50.6,NA,29.8,29.6,NA,61.9,61.5,NA,4.5,4.7,NA,60.6,61.3,NA
Madhya Pradesh,East Nimar,74.9,70.6,89.5,62.8,62.4,64.3,12,8.1,25.2,25.1,29.3,10.5,41.1,38.9,62.7,85.2,82,96.1,7.2,5.4,13.4,21.2,21.1,21.3
Madhya Pradesh,Guna,93,93.4,91.6,86.7,89,78.1,6.3,4.3,13.5,6.8,6.4,8.4,40.5,41.7,36.8,95.7,96,94.7,2.7,2.2,5.1,28.8,20.1,39.3
Madhya Pradesh,Gwalior,92.9,92.8,92.9,68.7,80.9,62.7,23.8,11.3,30.1,6.8,7.1,6.7,48.2,42.1,51.4,96.2,95.8,96.4,10.4,5.9,13.3,31.4,25.4,32.6
Madhya Pradesh,Harda,78.9,75.3,94.5,65.8,64.2,72.7,12.9,10.9,21.7,21,24.6,5.5,42.6,41.2,70.6,85.6,82.9,97.7,5.2,5.1,5.3,32.8,33.5,31.3
Madhya Pradesh,Hoshangabad,92.1,90,96.7,76.2,77.6,73.2,15.8,12.3,23.6,7.8,9.9,3.3,48.4,48.8,45.7,93.4,91.8,97.1,3.8,3.9,3.8,32.6,32.4,32.8
Madhya Pradesh,Indore,94.5,96.7,93.7,60.6,77.3,54.7,33.4,19.2,38.4,5.5,3.3,6.3,61.9,52.1,63.8,97.9,98.4,97.7,8.4,3,11.2,31.2,24.7,32.4
