State_Name,State_District_Name,AA_Sample_Units_Total,AA_Sample_Units_Rural,AA_Sample_Units_Urban,AA_Households_Total,AA_Households_Rural,AA_Households_Urban,AA_Population_Total,AA_Population_Rural,AA_Population_Urban,AA_Ever_Married_Women_Aged_15_49_Years_Total,AA_Ever_Married_Women_Aged_15_49_Years_Rural,AA_Ever_Married_Women_Aged_15_49_Years_Urban,AA_Currently_Married_Women_Aged_15_49_Years_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,AA_Currently_Married_Women_Aged_15_49_Years_Urban,AA_Children_12_23_Months_Total,AA_Children_12_23_Months_Rural,AA_Children_12_23_Months_Urban
Odisha,Sundargarh,89,49,40,15383,10785,4598,66906,47118,19788,12915,8882,4033,12049,8250,3799,2169,1590,579
Rajasthan,Ajmer,69,34,35,12661,8595,4066,62077,42984,19093,12334,8621,3713,11728,8184,3544,1836,1354,482
Rajasthan,Alwar,61,48,13,12531,10883,1648,63431,56038,7393,12264,10875,1389,11869,10528,1341,1635,1441,194
Rajasthan,Banswara,44,39,5,10056,9575,481,50613,48420,2193,9558,9088,470,9241,8789,452,2142,2065,77
Rajasthan,Baran,52,39,13,9597,8159,1438,47071,40166,6905,9170,7851,1319,8759,7516,1243,2050,1772,278
Rajasthan,Barmer,57,50,7,9989,9243,746,56230,51838,4392,10443,9592,851,10152,9323,829,2801,2601,200
Rajasthan,Bharatpur,76,55,21,15455,13262,2193,82195,70940,11255,14650,12622,2028,14244,12277,1967,2414,2104,310
Rajasthan,Bhilwara,41,29,12,7055,6073,982,34011,28855,5156,7473,6369,1104,7061,6011,1050,984,844,140
Rajasthan,Bikaner,57,31,26,8976,6098,2878,47043,32824,14219,8960,6142,2818,8692,5979,2713,1032,749,283
Rajasthan,Bundi,56,41,15,10779,8730,2049,51903,42123,9780,10984,8994,1990,10457,8574,1883,1937,1624,313
Rajasthan,Chittaurgarh,56,43,13,9878,8386,1492,46014,39014,7000,10065,8621,1444,9512,8149,1363,1246,1084,162
Rajasthan,Churu,51,32,19,9179,7609,1570,50031,41493,8538,10085,8393,1692,9858,8217,1641,1208,1025,183
Rajasthan,Dausa,45,38,7,11573,10793,780,56247,52339,3908,10486,9781,705,10193,9514,679,1695,1596,99
Rajasthan,Dhaulpur,42,31,11,7200,5828,1372,41839,33491,8348,7334,5869,1465,7010,5602,1408,1814,1529,285
Rajasthan,Dungarpur,64,57,7,16102,15134,968,79867,75246,4621,15486,14503,983,14761,13825,936,3044,2913,131
Rajasthan,Ganganagar,88,57,31,13682,9839,3843,63722,46449,17273,12568,9098,3470,12081,8778,3303,1267,926,341
Rajasthan,Hanumangarh,58,42,16,11394,9838,1556,56623,49080,7543,11028,9590,1438,10624,9254,1370,1014,875,139
Rajasthan,Jaipur,82,33,49,13538,7023,6515,67309,37375,29934,13335,7435,5900,12882,7180,5702,1520,858,662
Rajasthan,Jaisalmer,48,37,11,7463,6143,1320,39634,33354,6280,7004,5739,1265,6833,5601,1232,965,827,138
Rajasthan,Jalor,56,49,7,13963,13191,772,72994,68996,3998,13989,13204,785,13524,12769,755,3468,3320,148
Rajasthan,Jhalawar,56,44,12,9564,8103,1461,46561,39469,7092,9844,8465,1379,9353,8063,1290,1728,1510,218
Rajasthan,Jhunjhunun,84,60,24,21572,18338,3234,102887,86708,16179,21214,17962,3252,20552,17373,3179,2524,2177,347
Rajasthan,Jodhpur,66,37,29,12981,9939,3042,67124,52403,14721,13027,9986,3041,12636,9715,2921,1455,1159,296
Rajasthan,Karauli,32,25,7,6492,5562,930,34118,29199,4919,6226,5327,899,5972,5113,859,1407,1247,160
Rajasthan,Kota,68,25,43,9148,4762,4386,43845,23330,20515,8790,4622,4168,8320,4394,3926,1534,827,707
Rajasthan,Nagaur,66,50,16,13929,12546,1383,76264,68414,7850,14828,13350,1478,14237,12820,1417,1591,1402,189
Rajasthan,Pali,64,45,19,14276,12110,2166,68494,57644,10850,13429,11213,2216,12754,10608,2146,2167,1848,319
Rajasthan,Rajsamand,38,31,7,9546,8438,1108,44537,39193,5344,9511,8425,1086,8961,7934,1027,1556,1409,147
Rajasthan,Sawai Madhopur,34,25,9,6347,5185,1162,32486,26339,6147,6182,5025,1157,5968,4852,1116,1367,1156,211
Rajasthan,Sikar,81,58,23,16374,14046,2328,86858,74501,12357,17386,14919,2467,16911,14512,2399,1777,1539,238
Rajasthan,Sirohi,52,39,13,11466,10382,1084,56009,50684,5325,10930,9892,1038,10364,9378,986,2088,1954,134
