State_Name,State_District_Name,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Total,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Rural,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Urban,MM_Women_Who_Received_Any_Anc_Before_Abortion_Total,MM_Women_Who_Received_Any_Anc_Before_Abortion_Rural,MM_Women_Who_Received_Any_Anc_Before_Abortion_Urban,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Total,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Rural,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Urban,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Total,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Rural,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Urban,MM_Abortion_Performed_By_Skilled_Health_Personnel_Total,MM_Abortion_Performed_By_Skilled_Health_Personnel_Rural,MM_Abortion_Performed_By_Skilled_Health_Personnel_Urban,MM_Abortion_Taking_Place_In_Institution_Total,MM_Abortion_Taking_Place_In_Institution_Rural,MM_Abortion_Taking_Place_In_Institution_Urban
Odisha,Jharsuguda,8.74,7.23,11.03,70.89,66.91,74.86,29.6,23.39,35.79,2.71,2.8,2.62,44.98,39.96,50,39.99,35.15,44.81
Odisha,Kalahandi,0.62,0.47,2.1,77.84,82.74,66.67,40.75,58.63,0,3.81,4.32,2.67,67.08,67.26,66.67,67.08,67.26,66.67
Odisha,Kandhamal,1.34,1.32,1.6,70.27,72.09,50,34.29,32.88,50,3.59,3.56,4,92.14,91.44,100,80.17,82.88,50
Odisha,Kendrapara,12.76,12.77,12.5,50.2,50.31,48,19.19,18.73,28,2.73,2.74,2.52,57.54,56.36,80,52.51,51.27,76
Odisha,Kendujhar,8.34,7.87,10.71,61.92,62.49,59.77,19.08,18.35,21.84,2.94,3,2.72,35.44,35.08,36.78,33.61,33.07,35.63
Odisha,Khordha,3.02,3.26,2.62,69.52,69.78,68.97,20.52,21.26,18.97,2.88,2.84,2.97,66.57,71.97,55.17,58.56,61.79,51.72
Odisha,Koraput,0.86,0.55,2.36,49.17,26.57,75,23.34,0,50,3.61,3.27,4,41.11,33.33,50,35.28,33.33,37.5
Odisha,Malkangiri,0.76,0.73,1.23,29.59,32.54,0,10.22,11.24,0,3.94,3.93,4,67.84,69.63,50,47.4,47.14,50
Odisha,Mayurbhanj,5.58,5.5,7.03,54.24,55.36,38.46,9.98,10.15,7.69,3.09,3.12,2.62,39.03,37.43,61.54,38.62,37.54,53.85
Odisha,Nabarangapur,0.36,0.38,NA,50,50,NA,19.28,19.28,NA,3.77,3.77,NA,11.43,11.43,NA,11.43,11.43,NA
