State_Name,State_District_Name,BB_Average_Household_Size_Sc_Total,BB_Average_Household_Size_Sc_Rural,BB_Average_Household_Size_Sc_Urban,BB_Average_Household_Size_St_Total,BB_Average_Household_Size_St_Rural,BB_Average_Household_Size_St_Urban,BB_Average_Household_Size_All_Total,BB_Average_Household_Size_All_Rural,BB_Average_Household_Size_All_Urban,BB_Population_Below_Age_15_Years_Total,BB_Population_Below_Age_15_Years_Rural,BB_Population_Below_Age_15_Years_Urban,BB_Dependency_Ratio_Total,BB_Dependency_Ratio_Rural,BB_Dependency_Ratio_Urban,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Total,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Urban
Assam,Sibsagar,4.8,4.8,4.1,5,5.1,4.1,4.5,4.5,4.2,26.4,26.7,22.8,52.9,53.4,47.9,24.5,25.9,9
Assam,Sonitpur,4.6,4.7,4.4,4.9,4.9,4.5,4.7,4.8,4.3,31,32,22.7,60.9,63.1,45.1,36.9,40.5,10.6
Assam,Tinsukia,4.6,4.7,4.3,4.7,4.8,4.2,4.7,4.8,4.5,30.1,31.6,24,58,61.1,46.7,42.4,48.9,16.4
Bihar,Araria,5,5,5.3,4.9,4.9,4.8,5.1,5.1,5.3,41.8,42.2,37.3,92,93.4,75.6,68.6,70.8,38.5
Bihar,Aurangabad,5.7,5.7,5.3,6.3,6.4,6.3,5.9,5.9,5.6,39.2,39.4,37.1,87.2,88.6,76,51.3,52.4,41.3
Bihar,Banka,4.8,4.8,5,4.6,4.6,4,4.9,4.9,5,39.1,39.4,33.5,90.8,91.8,70.2,58.7,60,29.3
Bihar,Begusarai,4.9,4.8,5.6,5.5,5.6,4.7,5,5,5.1,39.5,40.2,30.8,87.4,90.2,59.9,47.9,50.4,18.8
Bihar,Bhagalpur,5,5,5.1,5.1,5.1,5.4,5,5,5,38,39.5,31.7,83.5,89.3,62.9,50.8,56.9,23.3
Bihar,Bhojpur,5.3,5.3,5.4,5.8,5.6,6.3,5.8,5.7,5.8,37.1,37.9,32.4,83.5,86.3,69.3,50.8,54.2,30.1
Bihar,Buxar,5.6,5.6,5.4,5.6,5.8,4.1,5.8,5.8,5.5,37,37.3,33.8,85.1,87.1,67.6,48.9,51.1,26.4
Bihar,Darbhanga,5.1,5.1,4.8,4.6,4.7,1,4.9,4.9,4.8,39.3,39.9,30.2,87.5,89.2,65.1,55.2,57.4,26.5
Bihar,Gaya,5.4,5.4,5.4,4.9,4.7,6,5.7,5.7,5.7,38.9,40.2,34.2,86.9,92.6,70,52.7,58.2,34.6
Bihar,Gopalganj,5.7,5.6,6,6.1,6.1,6,6,6,5.5,36.2,36.2,35.9,82,82.5,75.7,46.2,46.9,37
Bihar,Jamui,4.9,4.9,5.7,5.3,5.3,4,5.5,5.5,5.8,40.5,40.9,34.9,90.3,92.4,66.8,68.5,70.9,33.9
Bihar,Jehanabad,5,5,5.2,4.7,4.4,7.3,5.2,5.2,5.4,39.4,39.5,38.6,90.1,91.3,80.8,57.7,58.9,46.2
Bihar,Kaimur (Bhabua),5.6,5.6,5.2,5.9,5.8,7.8,5.9,5.9,5.7,38.9,39.2,33.3,88,88.8,67.7,47.5,48.6,16.6
Bihar,Katihar,4.6,4.6,4.6,4.5,4.5,4.5,4.8,4.8,4.9,42.1,42.9,31.5,94.4,97.7,60.1,68.9,72.4,21.9
Bihar,Khagaria,5.3,5.3,5.6,5.5,5.6,4.5,5.4,5.4,5.2,41,41.5,32.7,89.6,91.5,65.1,60.9,63.6,20.3
Bihar,Kishanganj,4.5,4.6,4.4,4.5,4.5,9,4.9,4.9,4.8,43.6,44.7,35.3,106.4,111.4,75.9,70.1,75.4,31.3
Bihar,Lakhisarai,5.5,5.5,5.4,5,5.1,4.8,5.6,5.6,5.4,38.3,38.7,35.7,87.2,88.6,78.6,54.6,57.6,34.9
Bihar,Madhepura,5.3,5.3,4.4,5.5,5.5,0,5.1,5.2,4.6,40.7,41,32.9,89.3,90.1,69.6,56.4,57.9,20.2
Bihar,Madhubani,4.8,4.8,5.6,5.7,5.7,0,5,5,5,38.1,38.2,36.2,85.2,85.4,75.2,67.8,68.4,37.2
Bihar,Munger,5.2,5.2,5.1,4.8,4.8,5,5.1,5.1,5.3,35.6,37.6,30.9,79.2,87.1,63.3,42.7,51.3,22.8
Bihar,Muzaffarpur,5,5,4.9,5,5,5,5.1,5.1,4.7,37,37.9,27.6,85.9,89.2,55.5,45.7,49.2,9.6
Bihar,Nalanda,5.3,5.3,5.2,4.6,4,6.3,5.4,5.3,5.4,39,39.2,37.6,87.3,89.2,77.7,57.1,60.3,38.6
Bihar,Nawada,5.6,5.6,6.3,6,6,3.5,5.9,5.9,5.9,39.2,39.5,35.7,92.3,94.6,72.8,61.3,63.5,40.4
Bihar,Pashchim Champaran,4.8,4.8,4.8,5.4,5.5,4.2,5.1,5.2,4.9,41.5,42.2,33,90,92.6,64.8,73.9,77.9,24.7
Bihar,Patna,5.1,5.1,5.1,4.8,4.7,5,5.2,5.5,5,34.5,39,29.4,71.3,88.1,55.7,40.8,57.1,23.1
Bihar,Purba Champaran,5.3,5.3,5.6,5.6,5.6,5.8,5.6,5.6,5.6,41.3,41.9,35.9,89.5,91.6,72.6,72.4,75.8,43.2
Bihar,Purnia,4.8,4.8,5.1,4.5,4.6,4.4,4.8,4.7,5,41.7,42.4,38,93.4,96.6,79.7,70.9,78.7,35.3
Bihar,Rohtas,5.7,5.7,5.7,5.1,5.1,4.9,5.9,5.9,5.8,37.1,37.5,33.8,83.2,85,71.2,43.1,45.5,24.5
Bihar,Saharsa,5,5,4.9,5,5.1,4.7,5,5,4.9,41.3,42.1,36.3,93.8,97.3,74.6,51,56.6,17.5
Bihar,Samastipur,5,4.9,5.5,3.6,4,1.5,5,5,4.9,38.6,39,31.8,86.3,87.7,64,62.1,64.3,20.7
Bihar,Saran,5.2,5.3,5,5.6,5.6,5,5.5,5.5,5.5,37.1,37.3,35.2,98,101.3,77.9,42.4,44.7,27
Bihar,Sheikhpura,5.5,5.4,6.1,7.2,6.6,11,5.5,5.5,5.7,39.4,40.3,34.4,89.6,93.8,68.6,57.3,61.1,34.6
Bihar,Sheohar,4.8,4.8,5.7,5.7,5.8,5,4.8,4.8,5.1,41.9,41.8,43,98.2,98.5,93.7,72,71.5,80.1
Bihar,Sitamarhi,4.7,4.8,4.4,4.7,4.5,15,4.7,4.7,4.5,40.5,41,35.7,88.2,89.5,76,68.8,72,36.3
Bihar,Siwan,5.6,5.6,4.9,5.8,5.8,5.9,5.7,5.7,5.5,36,36.4,32.6,81.2,83.7,64.1,50.1,54.6,16.3
Bihar,Supaul,5,5,5.1,5.6,5.3,7.8,4.9,4.9,4.9,40.9,41.4,34.8,90.8,93,67.5,65.6,68.7,21.6
Bihar,Vaishali,5,5,5.1,4.8,4.8,4.7,5,5,5.2,36.8,37.1,32.8,89.8,91.2,68.9,49.3,50.8,24.4
Chhattisgarh,Bastar,4.12,4.09,4.36,4.5,4.5,4.58,4.53,4.52,4.67,30.26,30.66,26.02,57.54,58.54,47.58,55.73,59.09,20.81
