State,LandCategory,Region,Region or State,Year,Acre Value
South Carolina,Farm Real Estate,Southeast,State,2003,2050
Delta,Farm Real Estate,Delta States,Region,2003,1460
Arkansas,Farm Real Estate,Delta States,State,2003,1480
Louisiana,Farm Real Estate,Delta States,State,2003,1500
Mississippi,Farm Real Estate,Delta States,State,2003,1400
Southern Plains,Farm Real Estate,Southern Plains,Region,2003,788
Oklahoma,Farm Real Estate,Southern Plains,State,2003,705
Texas,Farm Real Estate,Southern Plains,State,2003,810
Mountain,Farm Real Estate,Mountain,Region,2003,523
Arizona,Farm Real Estate,Mountain,State,2003,1500
Colorado,Farm Real Estate,Mountain,State,2003,730
Idaho,Farm Real Estate,Mountain,State,2003,1280
Montana,Farm Real Estate,Mountain,State,2003,390
Nevada,Farm Real Estate,Mountain,State,2003,480
New Mexico,Farm Real Estate,Mountain,State,2003,260
Utah,Farm Real Estate,Mountain,State,2003,1100
Wyoming,Farm Real Estate,Mountain,State,2003,300
Pacific,Farm Real Estate,Pacific,Region,2003,2350
California,Farm Real Estate,Pacific,State,2003,3600
Oregon,Farm Real Estate,Pacific,State,2003,1200
Washington,Farm Real Estate,Pacific,State,2003,1480
United States,Farm Real Estate,Continental U.S.,Region,2003,1270
Northeast,Farm Real Estate,Northeast,Region,2004,3550
Connecticut,Farm Real Estate,Northeast,State,2004,10200
Delaware,Farm Real Estate,Northeast,State,2004,6000
Maine,Farm Real Estate,Northeast,State,2004,1850
Maryland,Farm Real Estate,Northeast,State,2004,5700
Massachusetts,Farm Real Estate,Northeast,State,2004,9900
New Hampshire,Farm Real Estate,Northeast,State,2004,3250
New Jersey,Farm Real Estate,Northeast,State,2004,9750
New York,Farm Real Estate,Northeast,State,2004,1780
Pennsylvania,Farm Real Estate,Northeast,State,2004,3650
Rhode Island,Farm Real Estate,Northeast,State,2004,10200
Vermont,Farm Real Estate,Northeast,State,2004,2150
Lake,Farm Real Estate,Lake States,Region,2004,2220
Michigan,Farm Real Estate,Lake States,State,2004,2920
Minnesota,Farm Real Estate,Lake States,State,2004,1800
Wisconsin,Farm Real Estate,Lake States,State,2004,2500
Corn Belt,Farm Real Estate,Corn Belt,Region,2004,2300
Illinois,Farm Real Estate,Corn Belt,State,2004,2610
Indiana,Farm Real Estate,Corn Belt,State,2004,2770
Iowa,Farm Real Estate,Corn Belt,State,2004,2200
Missouri,Farm Real Estate,Corn Belt,State,2004,1580
Ohio,Farm Real Estate,Corn Belt,State,2004,2930
Northern Plains,Farm Real Estate,Northern Plains,Region,2004,632
Kansas,Farm Real Estate,Northern Plains,State,2004,715
Nebraska,Farm Real Estate,Northern Plains,State,2004,825
North Dakota,Farm Real Estate,Northern Plains,State,2004,455
South Dakota,Farm Real Estate,Northern Plains,State,2004,500
Appalachian,Farm Real Estate,Appalachian,Region,2004,2560
Kentucky,Farm Real Estate,Appalachian,State,2004,2000
North Carolina,Farm Real Estate,Appalachian,State,2004,3300
Tennessee,Farm Real Estate,Appalachian,State,2004,2500
Virginia,Farm Real Estate,Appalachian,State,2004,3200
West Virginia,Farm Real Estate,Appalachian,State,2004,1500
Southeast,Farm Real Estate,Southeast,Region,2004,2420
Alabama,Farm Real Estate,Southeast,State,2004,1860
Florida,Farm Real Estate,Southeast,State,2004,3100
Georgia,Farm Real Estate,Southeast,State,2004,2350
South Carolina,Farm Real Estate,Southeast,State,2004,2150
Delta,Farm Real Estate,Delta States,Region,2004,1580
Arkansas,Farm Real Estate,Delta States,State,2004,1650
Louisiana,Farm Real Estate,Delta States,State,2004,1580
Mississippi,Farm Real Estate,Delta States,State,2004,1480
Southern Plains,Farm Real Estate,Southern Plains,Region,2004,832
Oklahoma,Farm Real Estate,Southern Plains,State,2004,745
Texas,Farm Real Estate,Southern Plains,State,2004,855
Mountain,Farm Real Estate,Mountain,Region,2004,550
Arizona,Farm Real Estate,Mountain,State,2004,1600
Colorado,Farm Real Estate,Mountain,State,2004,775
Idaho,Farm Real Estate,Mountain,State,2004,1360
Montana,Farm Real Estate,Mountain,State,2004,410
Nevada,Farm Real Estate,Mountain,State,2004,500
New Mexico,Farm Real Estate,Mountain,State,2004,265
Utah,Farm Real Estate,Mountain,State,2004,1150
Wyoming,Farm Real Estate,Mountain,State,2004,315
Pacific,Farm Real Estate,Pacific,Region,2004,2480
California,Farm Real Estate,Pacific,State,2004,3800
Oregon,Farm Real Estate,Pacific,State,2004,1250
Washington,Farm Real Estate,Pacific,State,2004,1530
United States,Farm Real Estate,Continental U.S.,Region,2004,1360
Northeast,Farm Real Estate,Northeast,Region,2005,4100
Connecticut,Farm Real Estate,Northeast,State,2005,11200
Delaware,Farm Real Estate,Northeast,State,2005,8500
Maine,Farm Real Estate,Northeast,State,2005,1990
Maryland,Farm Real Estate,Northeast,State,2005,7500
Massachusetts,Farm Real Estate,Northeast,State,2005,10500
New Hampshire,Farm Real Estate,Northeast,State,2005,3780
New Jersey,Farm Real Estate,Northeast,State,2005,12500
New York,Farm Real Estate,Northeast,State,2005,1900
Pennsylvania,Farm Real Estate,Northeast,State,2005,3980
Rhode Island,Farm Real Estate,Northeast,State,2005,12800
Vermont,Farm Real Estate,Northeast,State,2005,2320
Lake,Farm Real Estate,Lake States,Region,2005,2470
Michigan,Farm Real Estate,Lake States,State,2005,3070
Minnesota,Farm Real Estate,Lake States,State,2005,2060
Wisconsin,Farm Real Estate,Lake States,State,2005,2790
Corn Belt,Farm Real Estate,Corn Belt,Region,2005,2650
Illinois,Farm Real Estate,Corn Belt,State,2005,3210
Indiana,Farm Real Estate,Corn Belt,State,2005,3000
Iowa,Farm Real Estate,Corn Belt,State,2005,2640
Missouri,Farm Real Estate,Corn Belt,State,2005,1750
Ohio,Farm Real Estate,Corn Belt,State,2005,3140
Northern Plains,Farm Real Estate,Northern Plains,Region,2005,714
Kansas,Farm Real Estate,Northern Plains,State,2005,810
